Title	URL	Author	Price
Mastering vRealize Automation 7.1: Implementing Cloud Management in the Enterprise Environment	/Mastering-vRealize-Automation-7-1-Implementing/dp/1539470962/ref=sr_1_54?keywords=automation&qid=1555061391&s=books&sr=1-54	by Dr. Guido Soeldner, Dr. Constantin Soeldner, et al. | Oct 24, 2016	$49
.			
"99"""			
The Robots Are Coming!: The Future of Jobs in the Age of Automation	/Robots-Are-Coming-Future-Automation-ebook/dp/B07C6T981Y/ref=sr_1_55?keywords=automation&qid=1555061391&s=books&sr=1-55	by Andres Oppenheimer and Ezra E. Fitz | Apr 30, 2019	$12
.			
"99"""			
Robotic Process and Cognitive Automation: The Next Phase	/Robotic-Process-Cognitive-Automation-Phase/dp/0995682011/ref=sr_1_56?keywords=automation&qid=1555061391&s=books&sr=1-56		$45
.			
"47"""			
Learning Chef: A Guide to Configuration Management and Automation	/Learning-Chef-Configuration-Management-Automation/dp/1491944935/ref=sr_1_57?keywords=automation&qid=1555061391&s=books&sr=1-57	by Mischa Taylor and Seth Vargo  | Dec 10, 2013	$33
.			
"75"""			
Customizing Chef: Getting the Most Out of Your Infrastructure Automation	/Customizing-Chef-Getting-Infrastructure-Automation/dp/149194935X/ref=sr_1_58?keywords=automation&qid=1555061391&s=books&sr=1-58	by Jon Cowie  | Sep 19, 2014	$35
.			
"54"""			
The Robots are Coming: A Human's Survival Guide to Profiting in the Age of Automation	/Robots-are-Coming-Profiting-Automation/dp/1612436692/ref=sr_1_59?keywords=automation&qid=1555061391&s=books&sr=1-59	by John Pugliano  | May 16, 2017	$12
.			
"29"""			
Robotic Process Automation with Blue Prism Quick Start Guide: Create software robots and automate business processes	/Robotic-Process-Automation-Prism-Quick/dp/1789610443/ref=sr_1_60?keywords=automation&qid=1555061391&s=books&sr=1-60	by Lim Mei Ying | Nov 30, 2018	$29
.			
"99"""			
The Simple Implementation Guide to Robotic Process Automation (RPA): How to Best Implement RPA in an Organization	/Simple-Implementation-Robotic-Process-Automation/dp/1532045883/ref=sr_1_61?keywords=automation&qid=1555061391&s=books&sr=1-61	by Kelly Wibbenmeyer | Mar 28, 2018	$10
.			
"99"""			
Automation and Utopia: Human Flourishing in a World without Work	/Automation-Utopia-Human-Flourishing-without/dp/0674984242/ref=sr_1_62?keywords=automation&qid=1555061391&s=books&sr=1-62	by John Danaher  | Sep 24, 2019	$39
.			
"95"""			
Design Automation for Differential MOS Current-Mode Logic Circuits	/Design-Automation-Differential-Current-Mode-Circuits/dp/3319913069/ref=sr_1_63?keywords=automation&qid=1555061391&s=books&sr=1-63	by Stéphane Badel, Can Baltaci, et al. | Jul 3, 2018	$83
.			
"81"""			
The Second Machine Age: Work, Progress, and Prosperity in a Time of Brilliant Technologies	/Second-Machine-Age-Prosperity-Technologies/dp/0393350649/ref=sr_1_64?keywords=automation&qid=1555061391&s=books&sr=1-64	by Erik Brynjolfsson and Andrew McAfee  | Jan 25, 2016	$13
.			
"55"""			
Manufacturing Automation	/Manufacturing-Automation-Yusuf-Altintas-ebook/dp/B00E3UR05G/ref=sr_1_65?keywords=automation&qid=1555061394&s=books&sr=1-65	by Yusuf Altintas  | Sep 30, 2013	$80
.			
"00"""			
